gene symbol,disease name,MOI
DSPP,DEAFNESS AUTOSOMAL DOMINANT TYPE 39 WITH DENTINOGENESIS IMPERFECTA 1,AD
PKHD1,"POLYCYSTIC KIDNEY DISEASE, AUTOSOMAL RECESSIVE",AR
POC1B,AUTOSOMAL-RECESSIVE CONE-ROD DYSTROPHY,AR
CRYAA,"CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 1",AR
BFSP2,CATARACT AUTOSOMAL DOMINANT BFSP2-RELATED,AD
GON4L,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
GRIN2B,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 6",AD
EEF1B2,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
CA2,OSTEOPETROSIS AUTOSOMAL RECESSIVE TYPE 3,AR
CDH15,INTELLECTUAL DEVELOPMENTAL DISORDER AUTOSOMAL DOMINANT TYPE 3,AD
RALGDS,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
SLC6A17,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 48",AR
ZNF526,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
NDST1,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
FMN2,NONSYNDROMIC AUTOSOMAL-RECESSIVE INTELLECTUAL DISABILITY,AR
ADRA2B,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
MED23,INTELLECTUAL DEVELOPMENTAL DISORDER AUTOSOMAL RECESSIVE TYPE 18,AR
WRAP53,"DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 3",AR
HINT1,"NEUROMYOTONIA AND AXONAL NEUROPATHY, AUTOSOMAL RECESSIVE",AR
ACBD6,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
H3-4,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
SETD5,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 23",AD
TUBGCP4,AUTOSOMAL-RECESSIVE MICROCEPHALY WITH CHORIORETINOPATHY.,AR
KIRREL3,INTELLECTUAL DEVELOPMENTAL DISORDER AUTOSOMAL DOMINANT TYPE 4,AD
CHRNA2,"CHRNA2-RELATED NOCTURNAL FRONTAL LOBE EPILEPSY, AUTOSOMAL DOMINANT",AD
ELP2,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
ADK,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
COQ5,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
SYNE1,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 8",AR
PIK3R1,"AGAMMAGLOBULINEMIA 7, AUTOSOMAL RECESSIVE",AR
COL11A2,DEAFNESS AUTOSOMAL DOMINANT TYPE 13,AD
WDR45B,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
RGS7,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
ZBTB40,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
COL11A2,DEAFNESS AUTOSOMAL RECESSIVE TYPE 53,AR
KCNT1,SEVERE AUTOSOMAL DOMINANT NOCTURNAL FRONTAL LOBE EPILEPSY,AD
CRYBB3,"CATARACT, CONGENITAL NUCLEAR, AUTOSOMAL RECESSIVE 2",AR
COL4A3,ALPORT SYNDROME AUTOSOMAL RECESSIVE,AR
SNRPE,AUTOSOMAL-DOMINANT HYPOTRICHOSIS SIMPLEX,AD
CAPN10,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
GJB3,"DEAFNESS, AUTOSOMAL RECESSIVE",AR
KIF7,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
CCNA2,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
ADNP,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT, 28",AD
WNT5A,"WNT5A-RELATED ROBINOW SYNDROME, AUTOSOMAL DOMINANT",AD
JAK3,"SEVERE COMBINED IMMUNE DEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL -POSITIVE, NK CELL-NEGATIVE, JAK3-RELATED",AR
HAX1,"NEUTROPENIA, SEVERE CONGENITAL 3, AUTOSOMAL RECESSIVE",AR
CASP2,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
MAN1B1,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
DYRK1A,INTELLECTUAL DEVELOPMENTAL DISORDER AUTOSOMAL DOMINANT TYPE 7,AD
GBA2,AUTOSOMAL-RECESSIVE CEREBELLAR ATAXIA WITH SPASTICITY.,AR
NHP2,"DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 2",AR
NEB,AUTOSOMAL RECESSIVE TYPICAL NEMALINE MYOPATHY,AR
FASN,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
POLR3B,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
ZCCHC8,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
KDM6B,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
LINS1,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
TRAPPC9,INTELLECTUAL DEVELOPMENTAL DISORDER AUTOSOMAL RECESSIVE TYPE 13,AR
CTNNB1,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 19",AD
CACNA1G,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
ST14,ICHTHYOSIS AUTOSOMAL RECESSIVE WITH HYPOTRICHOSIS,AR
FYCO1,"CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 2",AR
TUSC3,INTELLECTUAL DEVELOPMENTAL DISORDER AUTOSOMAL RECESSIVE TYPE 7,AR
TAF2,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
CRBN,INTELLECTUAL DEVELOPMENTAL DISORDER AUTOSOMAL RECESSIVE TYPE 2A,AR
SYNGAP1,INTELLECTUAL DEVELOPMENTAL DISORDER AUTOSOMAL DOMINANT TYPE 5,AD
KDM5A,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
LRIT3,AUTOSOMAL-RECESSIVE COMPLETE CONGENITAL STATIONARY NIGHT BLINDNESS,AR
KARS1,"DEAFNESS, AUTOSOMAL RECESSIVE 89",AR
CRADD,"INTELLECTUAL DEVELOPMENTAL DISORDER, autosomal recessive 34, with variant lissencephaly",AR
ST3GAL3,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 12",AR
SLC33A1,"AUTOSOMAL-RECESSIVE DISORDER WITH CONGENITAL CATARACTS, HEARING LOSS, AND LOW SERUM COPPER AND CERULOPLASMIN",AR
PRMT9,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
TDRD7,CATARACT CONGENITAL AUTOSOMAL RECESSIVE TYPE 4,AR
TTI2,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
TMEM135,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
COL4A4,ALPORT SYNDROME AUTOSOMAL RECESSIVE,AR
GJA1,AUTOSOMAL RECESSIVE OCULODENTODIGITAL DYSPLASIA,AR
ENTPD1,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
CC2D1A,INTELLECTUAL DEVELOPMENTAL DISORDER AUTOSOMAL RECESSIVE TYPE 3,AR
UBR7,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
H4C2,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
INPP4A,AUTOSOMAL RECESSIVE INTELLECTUAL DEVELOPMENTAL DISORDER,AR
FBN1,WEILL-MARCHESANI SYNDROME AUTOSOMAL DOMINANT,AD
COL4A3,ALPORT SYNDROME AUTOSOMAL DOMINANT,AD
HNF4A,ATYPICAL DOMINANT FANCONI SYNDROME WITH MODY,AD
GJA1,AUTOSOMAL DOMINANT OCULODENTODIGITAL DYSPLASIA,AD
GMNN,Autosomal-Dominant Primordial Dwarfism Associated with Meier-Gorlin Syndrome,AD
TERT,"Dyskeratosis congenita, autosomal recessive 4",AR
PARN,"Dyskeratosis congenita, autosomal recessive 6",AR
TERC,"Dyskeratosis congenita, autosomal dominant 1",AD
ALDH18A1,"CUTIS LAXA, AUTOSOMAL DOMINANT 3",AD
RTN4IP1,EARLY-ONSET RECESSIVE OPTIC NEUROPATHY,AR
MFSD2A,"MICROCEPHALY 15, PRIMARY, AUTOSOMAL RECESSIVE",AR
CCDC88C,"HYDROCEPHALUS, NONSYNDROMIC, AUTOSOMAL RECESSIVE",AR
DVL3,AUTOSOMAL-DOMINANT ROBINOW SYNDROME,AD
GNB3,GNB3 Autosomal-Recessive Congenital Stationary Night Blindness.,AR
FZD5,Autosomal Dominant Coloboma,AD
SEC61A1,Autosomal-Dominant Tubulo-Interstitial and Glomerulocystic Kidney Disease with Anemia,AD
IL11RA,Autosomal Recessive Craniosynostosis,AR
TAF13,Autosomal-Recessive Intellectual Disability and Microcephaly,AR
TUBG1,Posteriorly predominant pachygyria and severe microcephaly,AD
EDAR,"Ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal recessive",AR
STAT2,Recessive gain of function causing increased interferon signalling,AR
HDAC8,Cornelia de Lange Syndrome HDAC8 X-linked dominant,AD
ATP6V1E1,Mutations in ATP6V1E1 or ATP6V1A Cause Autosomal Recessive Cutis Laxa,AR
ATP6V1A,Autosomal Recessive Cutis Laxa,AR
DSTYK,Autosomal Recessive Complicated Spastic Paraparesis SPG23,AR
MYH3,Recessive Spondylocarpotarsal Synostosis Syndrome,AR
POLR3A,Autosomal Recessive Wiedemann Rautenstrauch Syndrome,AR
METTL5,Autosomal-Recessive Intellectual Disability and Microcephaly,AR
OGT,OGT-related developmental disorder (X-linked dominant),AD
ARHGEF9,ARHGEF9-related developmental disorder (X-linked dominant),AD
EDAR,"ECTODERMAL DYSPLASIA 10A, HYPOHIDROTIC/HAIR/NAIL TYPE, AUTOSOMAL DOMINANT",AD
OXR1,Autosomal-Recessive Neurological Disease with Cerebellar Atrophy and Lysosomal Dysfunction,AR
SPOP,"SPOP-related Neurodevelopmental Disorder, dominant negative",AD
RSRC1,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 70",AR
MYO18B,"KLIPPEL-FEIL SYNDROME 4, AUTOSOMAL RECESSIVE, WITH NEMALINE MYOPATHY AND FACIAL DYSMORPHISM",AR
EFEMP2,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IB",AR
TRMT10A,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 68",AR
WFS1,"Wolfram-like syndrome, autosomal dominant",AD
CNNM2,CNNM2-related neurodevelopmental disorder with hypomagnesemia; autosomal recessive form,AR
FGF13,FGF13-related neurodevelopmental disorder (X-linked dominant),AD
CEP85L,CEP85L-associated posterior-predominant lissencephaly,AD
GRIN1,"GRIN1-associated Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal recessive",AR
ATP1A2,Autosomal recessive ATP1A2-related neuronal migration disorder with epilepsy ,AR
GRIN2A,Autosomal recessive GRIN2A-related neurodevelopmental disorder,AR
SARS1,Autosomal dominant SARS1-related neurodevelopmental disorder,AD
EIF4A2,Autosomal dominant EIF4A2-related neurodevelopmental disorder with hypotonia and epilepsy  ,AD
EIF4A2,Autosomal recessive EIF4A2-related neurodevelopmental disorder ,AR
